2159::Henry::Henry:: Portrait of a Serial Killer::199::Fred Ward|Uma Thurman|Maria de Medeiros|Richard E. Grant|Kevin Spacey|Jean-Philippe …coffey|Bruce Myers|Juan Luis BuÒuel|FÈodor Atkine|Sylvie Huguel|Artus de Penguern|Pierre …taix|Pierre Edernac|GaÎtan Bloom|Alexandre De Gall
2160::Rosemary's Baby::Rosemary's Baby::1968::Mia Farrow|John Cassavetes|Ruth Gordon|Sidney Blackmer|Maurice Evans|Ralph Bellamy|Victoria Vetri|Patsy Kelly|Elisha Cook Jr.|Emmaline Henry|Charles Grodin|Hanna Landy|Phil Leeds|D'Urville Martin|Hope Summers
2161::"NeverEnding Story, The"::"NeverEnding Story, The "::1984::Barret Oliver|Gerald McRaney|Chris Eastman|Darryl Cooksey|Nicholas Gilbert|Thomas Hill|Deep Roy|Tilo Pr¸ckner|Moses Gunn|Noah Hathaway|Sydney Bromley|Patricia Hayes|Tami Stronach
2162::NeverEnding Story II::NeverEnding Story II::" The Next Chapter, The "::1999::Jonathan Brandis|Kenny Morrison|Clarissa Burt|John Wesley Shipp|Martin Umbach|Alexandra Johnes|Thomas Hill|Helena Michell|Christopher Burton|Patricia Fugger|Birge Schade|Claudio Maniscalco|Andreas Borcherding|Ralf Weikinger|Colin Gilder
2163::Attack of the Killer Tomatoes!::Attack of the Killer Tomatoes!::198::David Miller|George Wilson|Sharon Taylor|J. Stephen Peace|Ernie Meyers|Eric Christmas|Ron Shapiro|Al Sklar|Jerrold Anderson|Don Birch|Tom Coleman|Art K. Koustik|Jack Nolen|Paul Oya|John Qualls
2164::Surf Nazis Must Die::Surf Nazis Must Die::1987::Gail Neely|Robert Harden|Barry Brenner|Dawn Wildsmith|Michael Sonye|Joel Hile|Gene Mitchell|Tom Shell|Bobbie Bresee|Tom Demenkoff|John Williamette|Rand Hogen|Daniel Kong|Steve Reid|Terry Lee
2165::Your Friends and Neighbors::Your Friends and Neighbors::1998::Amy Brenneman|Aaron Eckhart|Catherine Keener|Nastassja Kinski|Jason Patric|Ben Stiller|
2166::Return to Paradise::Return to Paradise::1998::Vince Vaughn|Anne Heche|Joaquin Phoenix|David Conrad|Vera Farmiga|Nick Sandow|Jada Pinkett Smith|Ming Lee|Joel de la Fuente|Richard Chang|James McCauley|Brette Taylor|Deanna Yusoff|David Zayas|Amy Wong
2167::Blade::Blade::1998::Wesley Snipes|Stephen Dorff|Kris Kristofferson|N'Bushe Wright|Donal Logue|Udo Kier|Arly Jover|Traci Lords|Kevin Patrick Walls|Tim Guinee|Sanaa Lathan|Eric Edwards|Donna Wong|Carmen Thomas|Shannon Lee
2168::Dance with Me::Dance with Me::1998::Vanessa Williams|Chayanne|Kris Kristofferson|Joan Plowright|Jane Krakowski|Beth Grant|Harry Groener|William Marquez|Scott Paetty|Rick Valenzuela|Chaz Oswill|Liz Curtis|Bill Applebaum|Angelo Pag·n|Victor Marcel
2169::Dead Man on Campus::Dead Man on Campus::1998::Tom Everett Scott|Mark-Paul Gosselaar|Poppy Montgomery|Lochlyn Munro|Randy Pearlstein|Corey Page|Alyson Hannigan|Mari Morrow|Dave Ruby|Mark Carapezza|Jeff Tarpley|Jason Segel|Linda Cardellini|Aeryk Egan|Judyann Elder
2170::Wrongfully Accused::Wrongfully Accused::1998::Leslie Nielsen|Richard Crenna|Kelly LeBrock|Melinda McGraw|Michael York|Sandra Bernhard|Aaron Pearl|Leslie Jones|Benjamin Ratner|Gerard Plunkett|Duncan Fraser|John Walsh|Maury Hannigan|Chick Hearn|Lamb Chop
2171::"Next Stop, Wonderland"::"Next Stop, Wonderland "::1998::Hope Davis|Philip Seymour Hoffman|Callie Thorne|Ken Cheeseman|Pamela Hart|Diane Beckett|Jeremy Geidt|Alan Gelfant|Dave Gilloran|Luz Alexandra Ramos|Emma Shaw|Kemp Harris|Neil Gustafson|Holland Taylor|E. Katherine Kerr
2172::Strike!::"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) "::1998::Kirsten Dunst|Gaby Hoffmann|Lynn Redgrave|Rachael Leigh Cook|Tom Guiry|Vincent Kartheiser|Monica Keena|Matthew Lawrence|Heather Matarazzo|Merritt Wever|Robert Bockstael|Brenda Devine|Rosemary Dunsmore|Nigel Bennett|Jenny Parsons
2173::Navigator::Navigator::" A Mediaeval Odyssey, The "::1988::Bruce Lyons|Chris Haywood|Hamish Gough|Marshall Napier|Noel Appleby|Paul Livingston|Sarah Peirse|Mark Wheatley|Tony Herbert|Jessica Cardiff-Smith|Roy Wesney|Kathleen-Elizabeth Kelly|Jay Saussey|Charles Walker|Desmond Kelly
2174::Beetlejuice::Beetlejuice::1988::Alec Baldwin|Geena Davis|Annie McEnroe|Maurice Page|Hugo Stanger|Michael Keaton|Rachel Mittelman|Catherine O'Hara|J. Jay Saunders|Mark Ettlinger|Jeffrey Jones|Winona Ryder|Glenn Shadix|Patrice Martinez|Cindy Daly
2175::D√©j√† Vu::D√©j√† Vu::1997::Stephen Dillane|Victoria Foyt|Vanessa Redgrave|Glynis Barber|Michael Brandon|Vernon Dobtcheff|Graydon Gould|Noel Harrison|Aviva Marks|Anna Massey|Rachel Kempson|Wael Jolani|Karin Loevy|David Rubin|Amnon Meskin
2176::Rope::Rope::1948::Dick Hogan|John Dall|Farley Granger|Edith Evanson|Douglas Dick|Joan Chandler|Cedric Hardwicke|Constance Collier|James Stewart
2177::Family Plot::Family Plot::1976::Karen Black|Bruce Dern|Barbara Harris|William Devane|Ed Lauter|Cathleen Nesbitt|Katherine Helmond|Warren J. Kemmerling|Edith Atwater|William Prince|Nicholas Colasanto|Marge Redmond|John Lehne|Charles Tyner|Alexander Lockwood
2178::Frenzy::Frenzy::1972::Jon Finch|Barry Foster|Barbara Leigh-Hunt|Anna Massey|Alec McCowen|Vivien Merchant|Billie Whitelaw|Clive Swift|Bernard Cribbins|Michael Bates|Jean Marsh|Madge Ryan|Elsie Randolph|Gerald Sim|John Boxer
2179::Topaz::Topaz::1969::Frederick Stafford|Dany Robin|John Vernon|Karin Dor|Michel Piccoli|Philippe Noiret|Claude Jade|Michel Subor|Per-Axel Arosenius|Roscoe Lee Browne|Edmon Ryan|Sonja Kolthoff|Tina Hedstrˆm|John Van Dreelen|Donald Randolph
2180::Torn Curtain::Torn Curtain::1966::Paul Newman|Julie Andrews|Lila Kedrova|Hansjˆrg Felmy|Tamara Toumanova|Ludwig Donath|Wolfgang Kieling|G¸nter Strack|David Opatoshu|Gisela Fischer|Mort Mills|Carolyn Conwell|Arthur Gould-Porter|Gloria Govrin|
2181::Marnie::Marnie::1964::Tippi Hedren|Martin Gabel|Sean Connery|Louise Latham|Diane Baker|Alan Napier|Bob Sweeney|Milton Selzer|Henry Beckman|Edith Evanson|Mariette Hartley|Bruce Dern|S. John Launer|Meg Wyllie|
2182::"Wrong Man, The"::"Wrong Man, The "::1956::Henry Fonda|Vera Miles|Anthony Quayle|Harold J. Stone|Charles Cooper|John Heldabrand|Esther Minciotti|Doreen Lang|Laurinda Barrett|Norma Connolly|Nehemiah Persoff|Lola D'Annunzio|Kippy Campbell|Robert Essen|Richard Robbins
2183::"Man Who Knew Too Much, The"::"Man Who Knew Too Much, The "::1956::James Stewart|Doris Day|Brenda de Banzie|Bernard Miles|Ralph Truman|Daniel GÈlin|Mogens Wieth|Alan Mowbray|Hillary Brooke|Christopher Olsen|Reggie Nalder|Richard Wattis|Noel Willman|Alix Talton|Yves Brainville
2184::"Trouble with Harry, The"::"Trouble with Harry, The "::1955::James Stewart|Doris Day|Brenda de Banzie|Bernard Miles|Ralph Truman|Daniel GÈlin|Mogens Wieth|Alan Mowbray|Hillary Brooke|Christopher Olsen|Reggie Nalder|Richard Wattis|Noel Willman|Alix Talton|Yves Brainville
2185::I Confess::I Confess::1953::Montgomery Clift|Anne Baxter|Karl Malden|Brian Aherne|O.E. Hasse|Roger Dann|Dolly Haas|Charles Andre|
2186::Strangers on a Train::Strangers on a Train::1951::Farley Granger|Ruth Roman|Robert Walker|Leo G. Carroll|Patricia Hitchcock|Kasey Rogers|Marion Lorne|Jonathan Hale|Howard St. John|John Brown|Norma Varden|Robert Gist
2187::Stage Fright::Stage Fright::195::Jane Wyman|Marlene Dietrich|Michael Wilding|Richard Todd|Alastair Sim|Sybil Thorndike|Kay Walsh|Miles Malleson|Hector MacGregor|Joyce Grenfell|AndrÈ Morell|Patricia Hitchcock|Ballard Berkeley
2188::54::54::1998::Ryan Phillippe|Salma Hayek|Neve Campbell|Mike Myers|Sela Ward|Breckin Meyer|Sherry Stringfield|Ellen Albertini Dow|Cameron Mathison|Noam Jenkins|Jay Goede|Patrick Taylor|Heather Matarazzo|Skipp Sudduth|Aemilia Robinson
2189::I Married A Strange Person::I Married A Strange Person::1997::Charis Michelsen|Tom Larson|Richard Spore|Chris Cooke|Ruth Ray|J.B. Adams|John Russo Jr.|Jen Senko|John Holderried|Etta Valeska|Bill Martone|
2190::Why Do Fools Fall In Love?::Why Do Fools Fall In Love?::1998::Halle Berry|Vivica A. Fox|Lela Rochon|Larenz Tate|Paul Mazursky|Pamela Reed|Alexis Cruz|David Barry Gray|Miguel A. N˙Òez Jr.|Clifton Powell|Lane Smith|Ben Vereen|Paula Jai Parker|Marcello Thedford|Norris Young
2191::"Merry War, A"::"Merry War, A "::1997::Richard E. Grant|Helena Bonham Carter|Julian Wadham|Jim Carter|Harriet Walter|Lesley Vickerage|Barbara Leigh-Hunt|Liz Smith|John Clegg|Bill Wallis|Lill Roughley|Dorothea Alexander|Peter Stockbridge|Grant Parsons|Malcolm Sinclair
2192::See the Sea::See the Sea (Regarde la mer)::1997::Sasha Hails|Marina de Van|Samantha|Paul Raoux
2193::Willow::Willow::1988::Val Kilmer|Joanne Whalley|Warwick Davis|Jean Marsh|Patricia Hayes|Billy Barty|Pat Roach|Gavan O'Herlihy|David Steinberg|Phil Fondacaro|Tony Cox|Robert Gillibrand|Mark Northover|Kevin Pollak|Rick Overton
2194::"Untouchables, The"::"Untouchables, The "::1987::Val Kilmer|Joanne Whalley|Warwick Davis|Jean Marsh|Patricia Hayes|Billy Barty|Pat Roach|Gavan O'Herlihy|David Steinberg|Phil Fondacaro|Tony Cox|Robert Gillibrand|Mark Northover|Kevin Pollak|Rick Overton
2195::Dirty Work::Dirty Work::1998::Norm MacDonald|Jack Warden|Artie Lange|Traylor Howard|Don Rickles|Christopher McDonald|Chevy Chase|Bradley Reid|Matt Steinberg|Joseph Sicilia|Austin Pool|Gerry Mendicino|A. Frank Ruffo|Hrant Alianak|Michael Vollans
2196::Knock Off::Knock Off::1998::Jean-Claude Van Damme|Rob Schneider|Lela Rochon|Paul Sorvino|Carman Lee|Wyman Wong|Glen Chin|Michael Wong|Moses Chan|Lynne Langdon|Ray Nicholas|Jeff Wolfe|Michael Miller|Steve Brettingham|Mark Houghton
2197::Firelight::Firelight::1997::Sophie Marceau|Stephen Dillane|Dominique Belcourt|Kevin Anderson|Lia Williams|Joss Ackland|Sally Dexter|Emma Amos|Maggie McCarthy|Wolf Kahler|Annabel Giles|John Flanagan|Valerie Minifie|Diana Payan|John Hodgkinson
2198::Modulations::Modulations::1998::Arthur Baker|Afrika Bambaataa|Carl Cox|David Kristian|Derrick May|Moby|Robert Moog|Giorgio Moroder|Genesis P-Orridge|Rob Playford|DJ Spooky|Karlheinz Stockhausen|Danny Tenaglia
2199::Phoenix::Phoenix::1998::None
2200::Under Capricorn::Under Capricorn::1949::Ingrid Bergman|Joseph Cotten|Michael Wilding|Margaret Leighton|Cecil Parker|Denis O'Dea|Jack Watling|Harcourt Williams|John Ruddock|Bill Shine|Victor Lucas|Ronald Adam|Francis De Wolff|G.H. Mulcaster|Olive Sloane
2201::"Paradine Case, The"::"Paradine Case, The "::1947::Gregory Peck|Ann Todd|Charles Laughton|Charles Coburn|Ethel Barrymore|Louis Jourdan|Alida Valli|Leo G. Carroll|Joan Tetzel|Isobel Elsom
2202::Lifeboat::Lifeboat::1944::Tallulah Bankhead|William Bendix|Walter Slezak|Mary Anderson|John Hodiak|Henry Hull|Heather Angel|Hume Cronyn|Canada Lee
2203::Shadow of a Doubt::Shadow of a Doubt::1943::Teresa Wright|Joseph Cotten|Macdonald Carey|Henry Travers|Patricia Collinge|Hume Cronyn|Wallace Ford|Edna May Wonacott|Charles Bates|Irving Bacon|Clarence Muse|Janet Shaw|Estelle Jewell
2204::Saboteur::Saboteur::1942::Priscilla Lane|Robert Cummings|Otto Kruger|Alan Baxter|Clem Bevans|Norman Lloyd|Alma Kruger|Vaughan Glaser|Dorothy Peterson|Ian Wolfe|Frances Carson|Murray Alper|Kathryn Adams|Pedro de Cordoba|Billy Curtis
2205::Mr. & Mrs. Smith::Mr. & Mrs. Smith::1941::Carole Lombard|Robert Montgomery|Gene Raymond|Jack Carson|Philip Merivale|Lucile Watson|William Tracy|Charles Halton|Esther Dale|Emma Dunn|Betty Compson|Patricia Farr|William Edmunds|Pamela Blake|
2206::Suspicion::Suspicion::1941::Cary Grant|Joan Fontaine|Cedric Hardwicke|Nigel Bruce|May Whitty|Isabel Jeans|Heather Angel|Auriol Lee|Reginald Sheffield|Leo G. Carroll
2207::Jamaica Inn::Jamaica Inn::1939::Charles Laughton|Horace Hodges|Hay Petrie|Frederick Piper|Herbert Lomas|Clare Greet|William Devlin|Jeanne De Casalis|Mabel Terry-Lewis|A. Bromley Davenport|George Curzon|Basil Radford|Leslie Banks|Marie Ney|Maureen O'Hara
2208::"Lady Vanishes, The"::"Lady Vanishes, The "::1938::Margaret Lockwood|Michael Redgrave|Paul Lukas|May Whitty|Cecil Parker|Linden Travers|Naunton Wayne|Basil Radford|Mary Clare|Emile Boreo|Googie Withers|Sally Stewart|Philip Leaver|Selma Vaz Dias|Catherine Lacey
2209::Young and Innocent::Young and Innocent::1937::Nova Pilbeam|Derrick De Marney|Percy Marmont|Edward Rigby|Mary Clare|John Longden|George Curzon|Basil Radford|Pamela Carme|George Merritt|J.H. Roberts|Jerry Verno|H.F. Maltby|John Miller|
2210::Sabotage::Sabotage::1936::Sylvia Sidney|Oskar Homolka|Desmond Tester|John Loder|Joyce Barbour|Matthew Boulton|S.J. Warmington|William Dewhurst|
2211::Secret Agent::Secret Agent::1936::Madeleine Carroll|Peter Lorre|John Gielgud|Robert Young|Percy Marmont|Florence Kahn|Charles Carson|Lilli Palmer|
2212::"Man Who Knew Too Much, The"::"Man Who Knew Too Much, The "::1934::Leslie Banks|Edna Best|Peter Lorre|Frank Vosper|Hugh Wakefield|Nova Pilbeam|Pierre Fresnay|Cicely Oates|D.A. Clarke-Smith|George Curzon
2213::Waltzes from Vienna::Waltzes from Vienna::1933::Jessie Matthews|Edmund Gwenn|Fay Compton|Esmond Knight|Frank Vosper|Robert Hale|Charles Heslop|Hindle Edgar|Marcus Barron|Betty Huntley-Wright
2214::Number Seventeen::Number Seventeen::1932::Leon M. Lion|Anne Grey|John Stuart|Donald Calthrop|Barry Jones|Ann Casson|Henry Caine|Garry Marsh|
2215::Rich and Strange::Rich and Strange::1932::None
2216::"Skin Game, The"::"Skin Game, The "::1931::C.V. France|Helen Haye|Jill Esmond|Edmund Gwenn|John Longden|Phyllis Konstam|Frank Lawton|Herbert Ross|Dora Gregory|Edward Chapman|R.E. Jeffrey|George Bancroft|Ronald Frankau
2217::Elstree Calling::Elstree Calling::193::Tommy Handley|Gordon Begg|Teddy Brown|Helen Burnell|Donald Calthrop|The Charlot Girls|Bobbie Comber|Cicely Courtneidge|Will Fyffe|Lawrence Green|Gordon Harker|Jack Hulbert|Hannah Jones|John Longden|Ivor McLaren
2218::Juno and Paycock::Juno and Paycock::193::Barry Fitzgerald|Maire O'Neill|Edward Chapman|Sidney Morgan|Sara Allgood|John Laurie|Dave Morris|Kathleen O'Regan|John Longden|Dennis Wyndham|Fred Schwartz|
2219::Murder!::Murder!::193::Herbert Marshall|Norah Baring|Phyllis Konstam|Edward Chapman|Miles Mander|Esme Percy|Donald Calthrop|Esme V. Chaplin|Amy Brandon Thomas|Joynson Powell|S.J. Warmington|Marie Wright|Hannah Jones|Una O'Connor|R.E. Jeffrey
2220::"Manxman, The"::"Manxman, The "::1929::Carl Brisson|Malcolm Keen|Anny Ondra|Randle Ayrton|Clare Greet
2221::Blackmail::Blackmail::1929::Anny Ondra|Sara Allgood|Charles Paton|John Longden|Donald Calthrop|Cyril Ritchard|Hannah Jones|Harvey Braban|Ex-Det. Sergt. Bishop
2222::Champagne::Champagne::1928::Betty Balfour|Jean Bradin|Ferdinand von Alten|Gordon Harker
2223::"Farmer's Wife, The"::"Farmer's Wife, The "::1928::Jameson Thomas|Lillian Hall-Davis|Gordon Harker|Gibb McLaughlin|Maud Gill|Louie Pounds|Olga Slade|Ruth Maitland|Antonia Brough|Haward Watts|Mollie Ellis|
2224::Downhill::Downhill::1927::Ivor Novello|Ben Webster|Norman McKinnel|Robin Irvine|Jerrold Robertshaw|Sybil Rhoda|Annette Benson|Lilian Braithwaite|Isabel Jeans|Ian Hunter|Hannah Jones|Barbara Gott|Violet Farebrother|Alf Goddard|
2225::Easy Virtue::Easy Virtue::1927::None
2226::"Ring, The"::"Ring, The "::1927::None
2227::"Lodger, The"::"Lodger, The "::1926::Marie Ault|Arthur Chesney|June Tripp|Malcolm Keen|Ivor Novello
2228::"Mountain Eagle, The"::"Mountain Eagle, The "::1926::Nita Naldi|Malcolm Keen|John Hamilton|Bernhard Goetzke
2229::"Pleasure Garden, The"::"Pleasure Garden, The "::1925::Virginia Valli|Carmelita Geraghty|Miles Mander|John Stuart|Ferdinand Martini|Florence Helminger|Georg H. Schnell|Karl Falkenberg|
2230::Always Tell Your Wife::Always Tell Your Wife::1923::Seymour Hicks|Stanley Logan|Gertrude McCoy|Ellaline Terriss|Ian Wilson
2231::Rounders::Rounders::1998::Matt Damon|Gretchen Mol|John Malkovich|Paul Cicero|Ray Iannicelli|John Turturro|Merwin Goldsmith|Sonny Zito|Josh Mostel|Mal Z. Lawrence|Lenny Clarke|Peter Yoshida|Jay Boryea|Lenny Venito|Martin Landau
2232::Cube::Cube::1997::Nicole de Boer|Nicky Guadagni|David Hewlett|Andrew Miller|Julian Richings|Wayne Robson|Maurice Dean Wint
2233::Digging to China::Digging to China::1998::Evan Rachel Wood|Kevin Bacon|Mary Stuart Masterson|Marian Seldes|Cathy Moriarty|Amanda Minikus|Nicole Burdette|Bing Putney|Annie Jaynes|Joanne Pankow|Gareth Williams|Alan Mruvka|J.C. Quinn|R. Keith Harris|Nicole Namer
2234::Let's Talk About Sex::Let's Talk About Sex::1998::Troy Byer|Paget Brewster|Randi Ingerman|Michaline Babich|Tina Nguyen|Dale Paris|James Hyde|Phyllis Bash|Judith Lauro|Janis Rose Avillion|Joseph C. Phillips|William Walden|Natalia Ongaro|Diana Kato|Monique Bourgery
2235::One Man's Hero::One Man's Hero::1999::Tom Berenger|Joaquim de Almeida|Daniela Romo|Mark Moses|Stuart Graham|Gregg Fitzgerald|Don Wycherley|Wolf Muser|Luke Hayden|Ilia Volok|Patrick Bergin|James Gammon|Carlos Carrasco|Stephen Tobolowsky|Dermot Martin
2236::Simon Birch::Simon Birch::1998::Joseph Mazzello|Ashley Judd|Oliver Platt|David Strathairn|Dana Ivey|Ian Michael Smith|Beatrice Winde|Jan Hooks|Cecilley Carroll|Sumela Kay|Sam Morton|Jim Carrey|John Mazzello|Holly Dennison|Peter MacNeill
2237::Without Limits::Without Limits::1998::Billy Crudup|Donald Sutherland|Monica Potter|Jeremy Sisto|Matthew Lillard|Dean Norris|Billy Burke|Gabriel Olds|Judith Ivey|William Mapother|Adam Setliff|Nicholas R. Oleson|Amy Jo Johnson|Lisa Banes|Frank Shorter
2238::Seven Beauties::Seven Beauties (Pasqualino Settebellezze)::1976::Giancarlo Giannini|Fernando Rey|Shirley Stoler|Elena Fiore|Piero Di Iorio|Enzo Vitale|Roberto Herlitzka|Lucio Amelio|Ermelinda De Felice|Bianca D'Origlia|Francesca Marciano|Mario Conti|Barbara Valmorin|Emilio Salvatore|Aristide Caporale
2239::Swept Away::Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto)::1975::Giancarlo Giannini|Mariangela Melato|Riccardo Salvino|Isa Danieli|Aldo Puglisi|Anna Melita|Giuseppe Durini|Lucrezia De Domizio|Luis Su·rez|Vittorio Fanfoni|Lorenzo Piani|Eros Pagni
2240::My Bodyguard::My Bodyguard::198::Chris Makepeace|Adam Baldwin|Matt Dillon|Paul Quandt|Hank Salas|Joan Cusack|Dean R. Miller|Tim Reyna|Richard Bradley|Denise Baske|Vicky Nelson|Tom Rielly|Paul Charbonneau|Laura Salenger|Bert Hoddinott
2241::Class::Class::1983::Jacqueline Bisset|Rob Lowe|Andrew McCarthy|Cliff Robertson|Stuart Margolin|John Cusack|Alan Ruck|Rodney Pearson|Remak Ramsay|Virginia Madsen|Deborah Thalberg|Fern Persons|Casey Siemaszko|Aaron Douglas|Anna Maria Horsford
2242::"Grandview, U.S.A."::"Grandview, U.S.A. "::1984::Jamie Lee Curtis|C. Thomas Howell|Patrick Swayze|Troy Donahue|Jennifer Jason Leigh|William Windom|Carole Cook|M. Emmet Walsh|Ramon Bieri|Elizabeth Gorcey|John Philbin|John Cusack|Joan Cusack|Camilla Hawk|Melissa Domke
2243::Broadcast News::Broadcast News::1987::William Hurt|Albert Brooks|Holly Hunter|Robert Prosky|Lois Chiles|Joan Cusack|Peter Hackes|Christian Clemenson|Jack Nicholson|Robert Katims|Ed Wheeler|Stephen Mendillo|Kimber Shoop|Dwayne Markee|Gennie James
2244::"Allnighter, The"::"Allnighter, The "::1987::Susanna Hoffs|Dedee Pfeiffer|Joan Cusack|John Terlesky|James Shanta|Michael Ontkean|Pam Grier|Phil Brock|Kaaren Lee|Janelle Brady|Meshach Taylor|Will Seltzer|Denise Dumont|Mary Petrie|Kelly Lynn Gitter
2245::Working Girl::Working Girl::1988::Harrison Ford|Sigourney Weaver|Melanie Griffith|Alec Baldwin|Joan Cusack|Philip Bosco|Nora Dunn|Oliver Platt|James Lally|Kevin Spacey|Robert Easton|Olympia Dukakis|Amy Aquino|Jeffrey Nordling|Elizabeth Whitcraft
2246::Stars and Bars::Stars and Bars::1988::Daniel Day-Lewis|Harry Dean Stanton|Kent Broadhurst|Maury Chaykin|Matthew Cowles|Joan Cusack|Keith David|Spalding Gray|Glenne Headly|Laurie Metcalf|Bill Moor|Deirdre O'Connell|Will Patton|Martha Plimpton|Rockets Redglare
2247::Married to the Mob::Married to the Mob::1988::Paul Lazar|Alec Baldwin|Captain Haggerty|Marlene Willoughby|Frank Aquilino|Charles Napier|Michelle Pfeiffer|Joan Cusack|Ellen Foley|O-Lan Jones|Mercedes Ruehl|Jason Allen|Diane Puccerella|Suzanne Puccerella|Anthony J. Nici
2248::Say Anything...::Say Anything...::1989::John Cusack|Ione Skye|John Mahoney|Lili Taylor|Amy Brooks|Pamela Adlon|Jason Gould|Loren Dean|Glenn Walker Harris Jr.|Charles Walker|Russel Lunday|Polly Platt|Gloria Cromwell|Jeremy Piven|Patrick O'Neill
2249::My Blue Heaven::My Blue Heaven::199::Steve Martin|Rick Moranis|Joan Cusack|Melanie Mayron|Bill Irwin|Carol Kane|William Hickey|Deborah Rush|Daniel Stern|Jesse Bradford|Corey Carrier|Seth Jaffe|Robert Miranda|Ed Lauter|Julie Bovasso
2250::Men Don't Leave::Men Don't Leave::199::Jessica Lange|Arliss Howard|Joan Cusack|Chris O'Donnell|Kathy Bates|Tom Mason|Charlie Korsmo|Belita Moreno|Jim Haynie|Corey Carrier|Shannon Moffett|Kevin Corrigan|David Cale|Constance Shulman|Mark Hardwick
2251::"Cabinet of Dr. Ramirez, The"::"Cabinet of Dr. Ramirez, The "::1991::Mikhail Baryshnikov|Joan Cusack|Peter Gallagher|Ron Vawter|Kate Valk|Gregory Wallace|Werner Klemperer|Humbert Astredo|Paul Butler|Jim Clayburgh|Herb Downer|Herbert Duarte|Paul Eckstein|Henderson Forsythe|Mateo GÛmez
2252::Hero::Hero::1992::Dustin Hoffman|Geena Davis|Andy Garcia|Joan Cusack|Kevin J. O'Connor|Maury Chaykin|Stephen Tobolowsky|Christian Clemenson|Tom Arnold|Warren Berlinger|Cady Huffman|Susie Cusack|James Madio|Richard Riehle|Daniel Baldwin
2253::Toys::Toys::1992::Robin Williams|Michael Gambon|Joan Cusack|Robin Wright|LL Cool J|Donald O'Connor|Arthur Malet|Jack Warden|Debi Mazar|Wendy Melvoin|Julio Oscar Mechoso|Jamie Foxx|Shelly Desai|Blake Clark|Art Metrano
2254::Choices::Choices::1981::Paul Carafotes|Victor French|Lelia Goldoni|Val Avery|Demi Moore|William R. Moses|Bryon Morrow|Michael Alldredge|Stephen Nichols|Don Stark|Pat Buttram|George Barrows|Dennis Patrick|Bunny Summers|Sonny Gordon
2255::Young Doctors in Love::Young Doctors in Love::1982::Sean Young|Michael McKean|Gary Friedkin|Kyle T. Heffner|Rick Overton|Crystal Bernard|Ted McGinley|Saul Rubinek|Harry Dean Stanton|Pamela Reed|Taylor Negron|Patrick Collins|Dabney Coleman|Titos Vandis|Michael Richards
2256::Parasite::Parasite::1982::Robert Glaudini|Demi Moore|Luca Bercovici|James Davidson|Al Fann|Tom Villard|Scott Thomson|Cherie Currie|Vivian Blaine|James Cavan|Joanelle Romero|Freddy Moore|Natalie May|Cheryl Smith|Joel Miller
2257::No Small Affair::No Small Affair::1984::Jon Cryer|Demi Moore|George Wendt|Peter Frechette|Elizabeth Daily|Ann Wedgeworth|Jeffrey Tambor|Tim Robbins|Hamilton Camp|Scott Getlin|Judith Baldwin|Jennifer Tilly|Kene Holiday|Thomas Adams|Myles Berkowitz
2258::Master Ninja I::Master Ninja I::1984::None
2259::Blame It on Rio::Blame It on Rio::1984::Michael Caine|Joseph Bologna|Valerie Harper|Michelle Johnson|Demi Moore|JosÈ Lewgoy|Lupe Gigliotti|Michael Menaugh|Tessy Callado|Ana LucÌa Lima|Maria Helena Velasco|Zeni Pereira|Eduardo Conde|Betty von Wien|Nelson Dantas
2260::Wisdom::Wisdom::1986::Demi Moore|Emilio Estevez|Tom Skerritt|Veronica Cartwright|William Allen Young|Richard Minchenberg|Ernie Brown|Bill Henderson|Gene Ross|Liam Sullivan|Charlie Sheen|Hal Fishman|Chuck Henry|Nicholas Shields|Barbara Stamm
2261::One Crazy Summer::One Crazy Summer::1986::John Cusack|Linda Warren|Joel Murray|Grenville Cuyler|Bobcat Goldthwait|Kristen Goelz|Tom Villard|Curtis Armstrong|Sky|Laura Waterbury|Jennifer Yahoodik|Rachel C. Telegen|Demi Moore|John Matuszak|Paul M. Lane
2262::About Last Night...::About Last Night...::1986::Rob Lowe|Demi Moore|Jim Belushi|Elizabeth Perkins|George DiCenzo|Michael Alldredge|Robin Thomas|Donna Gibbons|Megan Mullally|Patricia Duff
2263::"Seventh Sign, The"::"Seventh Sign, The "::1988::Demi Moore|Michael Biehn|J¸rgen Prochnow|Peter Friedman|Manny Jacobs|John Taylor|Lee Garlington|Akosua Busia|Harry Basil|Arnold Johnson|John Walcutt|Michael Laskin|Hugo Stanger|Patricia Allison|Ian Buchanan
2264::We're No Angels::We're No Angels::1989::Robert De Niro|Sean Penn|Demi Moore|Hoyt Axton|Bruno Kirby|Ray McAnally|James Russo|Wallace Shawn|John C. Reilly|Jay Brazeau|Ken Buhay|Elizabeth Lawrence|Bill Murdoch|Jessica Jickels|Frank C. Turner
2265::Nothing But Trouble::Nothing But Trouble::1991::Chevy Chase|Dan Aykroyd|John Candy|Demi Moore|Valri Bromfield|Taylor Negron|Bertila Damas|Raymond J. Barry|Brian Doyle-Murray|John Wesley|Peter Aykroyd|Daniel Baldwin|James Staszkiel|Deborah Lee Johnson|Karla Tamburrelli
