851::Bad Taste::Edward Norton|Brad Pitt|Meat Loaf|Zach Grenier|Richmond Arquette|David Andrews|George Maguire|Eugenie Bondurant|Helena Bonham Carter|Christina Cabot|Sydney 'Big Dawg' Colston|Rachel Singer|Christie Cronenweth|Tim DeZarn|Ezra Buzzington
852::Diva::Wilhelmenia Fernandez|Frédéric Andréi|Richard Bohringer|Thuy An Luu|Jacques Fabbri|Chantal Deruaz|Anny Romand|Roland Bertin|Gérard Darmon|Dominique Pinon|Jean-Jacques Moreau|Patrick Floersheim|Raymond Aquilon|Eugène Berthier|Gérard Chaillou
853::Night on Earth::Gena Rowlands|Winona Ryder|Lisanne Falk|Alan Randolph Scott|Anthony Portillo|Armin Mueller-Stahl|Giancarlo Esposito|Rosie Perez|Richard Boes|Isaach De Bankolé|Béatrice Dalle|Pascal N'Zonzi|Emile Abossolo M'bo|Stéphane Boucher|Noel Kaufmann
854::Paris Was a Woman::Juliet Stevenson|Maureen All|Gillian Hanna|Margaret Robertson|Shari Benstock|Alice B. Toklas|Gertrude Stein|Janet Flanner|Samuel Steward|Sylvia Beach|Adrienne Monnier|Giselle Freund|John Bernard|Berthe Cleyrerque|Catharine Stimpson
855::Amityville: Dollhouse::Robin Thomas|Starr Andreeff|Allen Cutler|Rachel Duncan|Jarrett Lennon|Clayton Murray|Franc Ross|Lenore Kasdorf|Lisa Robin Kelly
856::April Fool's Day::Jay Baker|Pat Barlow|Lloyd Berry|Deborah Foreman|Deborah Goodrich|Tom Heaton|Leah Pinsent|Mike Nomad|Ken Olandt|Griffin O'Neal|Clayton Rohner|Amy Steel|Thomas F. Wilson
857::Believers, The::Martin Sheen|Helen Shaver|Harley Cross|Robert Loggia|Elizabeth Wilson|Harris Yulin|Lee Richardson|Richard Masur|Carla Pinza|Jimmy Smits|Raúl Dávila|Malick Bowens|Janet-Laine Green|Larry Ramos|Philip Corey
858::Nosferatu a Venezia::Nonez|Nonez
859::Jingle All the Way::Arnold Schwarzenegger|Sinbad|Phil Hartman|Rita Wilson|Robert Conrad|Martin Mull|Jake Lloyd|Jim Belushi|E.J. De la Pena|Laraine Newman|Justin Chapman|Harvey Korman|Richard Moll|Daniel Riordan|Jeff L. Deist
860::Garden of Finzi-Contini, The::Nonez|Nonez
861::My Fellow Americans::Jack Lemmon|James Garner|Dan Aykroyd|John Heard|Wilford Brimley|Lauren Bacall|Sela Ward|Everett McGill|Bradley Whitford|James Rebhorn|Esther Rolle|Conchata Ferrell|Jack Kehler|Connie Ray|Tom Everett
862::Ice Storm, The::Kevin Kline|Joan Allen|Sigourney Weaver|Henry Czerny|Tobey Maguire|Christina Ricci|Elijah Wood|Adam Hann-Byrd|David Krumholtz|Jamey Sheridan|Kate Burton|William Cain|Michael Cumpsty|Maia Danziger|Katie Holmes
863::Michael::John Travolta|Andie MacDowell|William Hurt|Bob Hoskins|Robert Pastorelli|Jean Stapleton|Teri Garr|Wallace Langham|Joey Lauren Adams|Carla Gugino|Tom Hodges|Catherine Lloyd Burns|Richard Schiff|Calvin Trillin|Donald J. Lee Jr.
864::Whole Wide World, The::Vincent D'Onofrio|Renée Zellweger|Ann Wedgeworth|Harve Presnell|Benjamin Mouton|Helen Cates|Leslie Buesing|Chris Shearer|Sandy Walper|Marion Eaton|Dell Aldrich|Libby Villari|Michael Corbett|Antonia Bogdanovich|Elizabeth D'Onofrio
865::Hearts and Minds::Adam Arkin|Christine Lahti|Jamey Sheridan|Roxanne Hart|Peter Berg|Thomas Gibson|Vondie Curtis-Hall|Jayne Brook|Hector Elizondo|Kathy Najimy|Robert Clohessy|Christina Solis|Tony Amendola|Nathan Watt|Dan Lauria
866::Fools Rush In::Matthew Perry|Salma Hayek|Jon Tenney|Carlos Gómez|Tomas Milian|Siobhan Fallon Hogan|John Bennett Perry|Stanley DeSantis|Suzanne Snyder|Anne Betancourt|Jill Clayburgh|Angelina Torres|Debby Shively|Mark Adair-Rios|Annie Combs
867::Touch::LL Cool J|Gina Gershon|Conchata Ferrell|John Doe|Christopher Walken|Skeet Ulrich|María Celedonio|Chris Hogan|Anthony Zerbe|Bridget Fonda|William Newman|Tom Arnold|Breckin Meyer|Matt O'Toole|Richard Fancy
868::Vegas Vacation::Chevy Chase|Beverly D'Angelo|Randy Quaid|Ethan Embry|Marisol Nichols|Miriam Flynn|Shae D'lyn|Wayne Newton|Siegfried Fischbacher|Roy Horn|Wallace Shawn|Sid Caesar|Julio Oscar Mechoso|Sly Smith|Julia Sweeney
869::Love Jones::Larenz Tate|Nia Long|Isaiah Washington|Lisa Nicole Carson|Bill Bellamy|Leonard Roberts|Bernadette Speakes|Khalil Kain|Cerall Duncan|David Nisbet|Simon James|Oona Hart|Jaqueline Fleming|Manao DeMuth|Marie-Françoise Theodore
870::Picture Perfect::Jennifer Aniston|Jay Mohr|Kevin Bacon|Olympia Dukakis|Illeana Douglas|Kevin Dunn|Anne Twomey|Faith Prince|John Rothman|Meg Gibson|Paul Cassell|Ivar Brogger|Peter McRobbie|Bray Poor|Daryl Edwards
871::Career Girls::Katrin Cartlidge|Lynda Steadman|Kate Byers|Mark Benton|Andy Serkis|Joe Tucker|Margo Stanley|Michael Healy
872::She's So Lovely::Robin Wright|James Gandolfini|Susan Traylor|Harry Dean Stanton|Debi Mazar|Bobby Cooper|John Marshall Jones|Chloe Webb|Sean Penn|James Soravilla|Jamie Bozian|Paul Johansson|Justina Machado|Tito Larriva|Tony Marsico
873::Money Talks::Chris Tucker|Charlie Sheen|Heather Locklear|Elise Neal|Paul Sorvino|David Lee McLain|Vic Ferreira|Gary Briggs|Larry Hankin|Nathan Anderson|Damian Chapa|Richard Noyce|Faizon Love|Gérard Ismaël|Ralph W. Odum
874::Excess Baggage::Alicia Silverstone|Benicio Del Toro|Christopher Walken|Jack Thompson|Harry Connick Jr.|Nicholas Turturro|Michael Bowen|Robert Wisden|Leland Orser|Sally Kirkland|Hiro Kanagawa|Brendan Beiser|Demetri Goritsas|Jorge Vargas|Danielle Saklofsky
875::That Darn Cat!::Christina Ricci|Doug E. Doug|Dean Jones|George Dzundza|Peter Boyle|Michael McKean|Bess Armstrong|Dyan Cannon|John Ratzenberger|Megan Cavanagh|Estelle Parsons|Rebecca Schull|Thomas F. Wilson|Brian Haley|Mark Christopher Lawrence
876::Peacemaker, The::George Clooney|Nicole Kidman|Marcel Iures|Aleksandr Baluev|Rene Medvesek|Gary Werntz|Randall Batinkoff|Jim Haynie|Alexander Strobele|Holt McCallany|Michael Boatman|Joan Copeland|Carlos Gómez|Armin Mueller-Stahl|Slavko Juraga
877::Soul Food::Vanessa Williams|Vivica A. Fox|Nia Long|Michael Beach|Mekhi Phifer|Brandon Hammond|Jeffrey D. Sams|Gina Ravera|Irma P. Hall|Carl Wright|Mel Jackson|Morgan Méchelle Smith|John M. Watson Sr.|M.T. Alexander|Lawrence Petty
878::Money Talks::Chris Tucker|Charlie Sheen|Heather Locklear|Elise Neal|Paul Sorvino|David Lee McLain|Vic Ferreira|Gary Briggs|Larry Hankin|Nathan Anderson|Damian Chapa|Richard Noyce|Faizon Love|Gérard Ismaël|Ralph W. Odum
879::Washington Square::Jennifer Jason Leigh|Albert Finney|Maggie Smith|Ben Chaplin|Judith Ivey|Arthur Laupus|Jennifer Garner|Robert Stanton|Betsy Brantley|Nancy Daly|Sara Ruzicka|Rachel Layne Sacrey|Rachel Osborne|Scott Jaeck|Peter Maloney
880::Telling Lies in America::Kevin Bacon|Brad Renfro|Maximilian Schell|Calista Flockhart|Paul Dooley|Jonathan Rhys Meyers|Luke Wilson|Damen Fletcher|Jerry Swindall|K.K. Dodds|James Kisicki|J.J. Horna|Ben Saypol|Tony Devon|Rohn Thomas
881::Year of the Horse::Ralph Molina|Frank 'Pancho' Sampedro|Billy Talbot|Neil Young|Larry Cragg|Jim Jarmusch|Elliot Roberts|Keith Wissmar|Scott Young
882::Phantoms::Peter O'Toole|Rose McGowan|Joanna Going|Liev Schreiber|Ben Affleck|Nicky Katt|Clifton Powell|Rick Otto|Valerie Chow|Adam Nelson|John Hammil|John Scott Clough|Michael DeLorenzo|William Hahn|Robert Himber
883::Life Less Ordinary, A::Holly Hunter|Delroy Lindo|Dan Hedaya|Cameron Diaz|Ian McNeice|Ewan McGregor|Frank Kanig|Mel Winkler|Anne Cullimore Decker|Stanley Tucci|K.K. Dodds|Tony Shalhoub|Ian Holm|Christopher Gorham|Maury Chaykin
884::Eve's Bayou::Jurnee Smollett-Bell|Meagan Good|Lynn Whitfield|Samuel L. Jackson|Debbi Morgan|Jake Smollett|Ethel Ayler|Diahann Carroll|Vondie Curtis-Hall|Roger Guenveur Smith|Lisa Nicole Carson|Branford Marsalis|Afonda Colbert|Lola Dalferes|Marcus Lyle Brown
885::One Night Stand::Wesley Snipes|Nastassja Kinski|Kyle MacLachlan|Ming-Na Wen|Robert Downey Jr.|Marcus T. Paulk|Natalie Trott|John Calley|Glenn Plummer|Amanda Donohoe|Zoë Nathenson|Thomas Haden Church|Vincent Ward|John Ratzenberger|Thomas Kopache
886::Tango Lesson, The::Wesley Snipes|Nastassja Kinski|Kyle MacLachlan|Ming-Na Wen|Robert Downey Jr.|Marcus T. Paulk|Natalie Trott|John Calley|Glenn Plummer|Amanda Donohoe|Zoë Nathenson|Thomas Haden Church|Vincent Ward|John Ratzenberger|Thomas Kopache
887::Mortal Kombat: Annihilation::Robin Shou|Talisa Soto|James Remar|Sandra Hess|Lynn 'Red' Williams|Brian Thompson|Reiner Schöne|Musetta Vander|Irina Pantaeva|Deron McBee|Marjean Holden|Litefoot|Chris Conrad|John Medlen|J.J. Perry
888::Bent::Mick Jagger|Clive Owen|Brian Webber|Nikolaj Coster-Waldau|Jude Law|Gresby Nash|Suzanne Bertish|David Meyer|Stefan Marling|Richard Laing|Crispian Belfrage|Ian McKellen|Johanna Kirby|David Phelan|Peter Stark
889::Flubber::Robin Williams|Marcia Gay Harden|Christopher McDonald|Ted Levine|Clancy Brown|Raymond J. Barry|Wil Wheaton|Edie McClurg|Jodi Benson|Leslie Stefanson|Malcolm Brownson|Benjamin Brock|Dakin Matthews|Zack Zeigler|Sam Lloyd
890::For Richer or Poorer::Tim Allen|Kirstie Alley|Jay O. Sanders|Michael Lerner|Wayne Knight|Larry Miller|Miguel A. Núñez Jr.|Megan Cavanagh|John Pyper-Ferguson|Carrie Preston|Ethan Phillips|John Caponera|Katie Moore|Bobby Steggert|Michael Angarano
891::Home Alone 3::Alex D. Linz|Olek Krupa|Rya Kihlstedt|Lenny von Dohlen|David Thornton|Haviland Morris|Kevin Kilner|Marian Seldes|Seth Smith|Scarlett Johansson|Christopher Curry|Baxter Harris|James Saito|Kevin Gudahl|Richard Hamilton
892::Scream 2::Jada Pinkett Smith|Omar Epps|Paulette Patterson|Rasila Schroeder|Heather Graham|Roger Jackson|Peter Deming|Molly Gross|Rebecca McFarland|Neve Campbell|Elise Neal|Liev Schreiber|Kevin Williamson|Sandy Heddings|Dave Allen Clark
893::Sweet Hereafter, The::Ian Holm|Caerthan Banks|Sarah Polley|Tom McCamus|Gabrielle Rose|Alberta Watson|Maury Chaykin|Stephanie Morgenstern|Kirsten Kieferle|Arsinée Khanjian|Earl Pastko|Simon Baker|David Hemblen|Bruce Greenwood|Sarah Rosen Fruitman
894::Time Tracers::Rocky Patterson|TJ Myers|Tyler Mason|Dorenda Moore|Jeffrey Combs|Kristoffer Kjornes|James Michael Taylor|Mark Nutter|Christopher Heldman|Veronica Culver|Barri Murphy|Gordon Fox|Taylor Anderson|John Hurley|Carroll Land
895::Postman, The::Nonez|Nonez
896::Winter Guest, The::Phyllida Law|Emma Thompson|Sheila Reid|Sandra Voe|Arlene Cockburn|Gary Hollywood|Sean Biggerstaff|Douglas Murphy|Tom Watson|Jan Shand|Sandy Neilson|Billy McElhaney|Helen Devon|Harry Welsh|Christian Zanone
897::Kundun::Tenzin Thuthob Tsarong|Gyurme Tethong|Tulku Jamyang Kunga Tenzin|Tenzin Yeshi Paichang|Tencho Gyalpo|Tenzin Topjar|Tsewang Migyur Khangsar|Tenzin Lodoe|Geshi Yeshi Gyatso|Losang Gyatso|Sonam Phuntsok|Gyatso Lukhang|Lobsang Samten|Jigme Tsarong|Tenzin Trinley
898::Mr. Magoo::Leslie Nielsen|Kelly Lynch|Matt Keeslar|Nick Chinlund|Stephen Tobolowsky|Ernie Hudson|Jennifer Garner|Malcolm McDowell|Miguel Ferrer|L. Harvey Gold|Art Irizawa|John Tierney|Terence Kelly|Rick Burgess|Jerry Wasserman
899::Big Lebowski, The::Jeff Bridges|John Goodman|Julianne Moore|Steve Buscemi|David Huddleston|Philip Seymour Hoffman|Tara Reid|Philip Moon|Mark Pellegrino|Peter Stormare|Flea|Torsten Voges|Jimmie Dale Gilmore|Jack Kehler|John Turturro
900::Afterglow::Nick Nolte|Julie Christie|Lara Flynn Boyle|Jonny Lee Miller|Jay Underwood|Domini Blythe|Yves Corbeil|Alan Fawcett|Michèle-Barbara Pelletier|France Castel|Genevieve Bissonnette|Claudia Besso|Ivan Smith|Ellen David|Don Jordan
901::Ma vie en rose::Michèle Laroque|Jean-Philippe Écoffey|Hélène Vincent|Georges Du Fresne|Daniel Hanssens|Laurence Bibot|Jean-François Gallotte|Caroline Baehr|Julien Rivière|Marie Bunel|Gregory Diallo|Erik Cazals De Fabel|Cristina Barget|Delphine Cadet|Morgane Bruna
902::Great Expectations::Ethan Hawke|Gwyneth Paltrow|Hank Azaria|Chris Cooper|Anne Bancroft|Robert De Niro|Josh Mostel|Kim Dickens|Nell Campbell|Gabriel Mann|Jeremy James Kissner|Raquel Beaudene|Stephen Spinella|Marla Sucharetza|Isabelle Anderson
903::Oscar & Lucinda::Ralph Fiennes|Cate Blanchett|Ciarán Hinds|Tom Wilkinson|Richard Roxburgh|Clive Russell|Bille Brown|Josephine Byrnes|Barnaby Kay|Barry Otto|Linda Bassett|Geoffrey Rush|Polly Cheshire|Gillian Jones|Robert Menzies
904::Vermin::Shaz Bennett|Peter Dryden|Merle Nicks|Katherine Krasney|Stefan Lysenko|Steven Dallimore|Jiro Yamaguchi|Chris Innis|Don Fenstermaker|M. David Mullen|Dana McCusker|Cynthia Ona Innis|Todd Messegee|Comfort Cardoza|Kris Kristensen
905::Half Baked::Dave Chappelle|Guillermo Díaz|Jim Breuer|Harland Williams|Rachel True|Clarence Williams III|Laura Silverman|Tommy Chong|R.D. Reid|Gregg Rogell|Kevin Brennan|Alice Poon|Rick Demas|David Bluestein|Kevin Duhaney
906::Dangerous Beauty::Catherine McCormack|Rufus Sewell|Oliver Platt|Fred Ward|Naomi Watts|Moira Kelly|Jacqueline Bisset|Jeroen Krabbé|Joanna Cassidy|Melina Kanakaredes|Daniel Lapaine|Justine Miceli|Jake Weber|Simon Dutton|Grant Russell
907::Nil By Mouth::Ray Winstone|Kathy Burke|Charlie Creed-Miles|Laila Morse|Edna Doré|Chrissie Cotterill|Jon Morrison|Jamie Foreman|Steve Sweeney|Terry Rowley|Sam Miller|Leah Fitzgerald|Gerry Bromfield|Neil Maskell|Sid Golder
908::Twilight::Paul Newman|Susan Sarandon|Gene Hackman|Reese Witherspoon|Stockard Channing|James Garner|Giancarlo Esposito|Liev Schreiber|Margo Martindale|John Spencer|M. Emmet Walsh|Peter Gregory|Rene Mujica|Jason Clarke|Patrick Malone
909::U.S. Marshalls::Tommy Lee Jones|Wesley Snipes|Robert Downey Jr.|Joe Pantoliano|Daniel Roebuck|Tom Wood|LaTanya Richardson Jackson|Irène Jacob|Kate Nelligan|Patrick Malahide|Rick Snyder|Michael Paul Chan|Johnny Lee Davenport|Donald Li|Marc Vann
910::Love and Death on Long Island::John Hurt|Jason Priestley|Fiona Loewi|Sheila Hancock|Harvey Atkin|Maury Chaykin|Gawn Grainger|Elizabeth Quinn|Linda Busby|Bill Leadbitter|Anne Reid|Danny Webb|Andrew Barrow|Dean Gatiss|Robert McKewley
911::Wild Things::Kevin Bacon|Matt Dillon|Neve Campbell|Theresa Russell|Denise Richards|Daphne Rubin-Vega|Robert Wagner|Bill Murray|Carrie Snodgress|Jeff Perry|Cory Pendergast|Marc Macaulay|Toi Svane Stepp|Dennis Neal|Diane Adams
912::Primary Colors::John Travolta|Emma Thompson|Billy Bob Thornton|Kathy Bates|Adrian Lester|Maura Tierney|Larry Hagman|Diane Ladd|Paul Guilfoyle|Rebecca Walker|Caroline Aaron|Tommy Hollis|Rob Reiner|Ben Jones|J.C. Quinn
913::Lost in Space::William Hurt|Mimi Rogers|Heather Graham|Lacey Chabert|Jack Johnson|Gary Oldman|Matt LeBlanc|Jared Harris|Mark Goddard|Lennie James|Marta Kristen|June Lockhart|Edward Fox|Adam Sims|Angela Cartwright
914::Mercury Rising::Bruce Willis|Alec Baldwin|Miko Hughes|Chi McBride|Kim Dickens|Robert Stanton|Bodhi Elfman|Carrie Preston|Lindsey Ginter|Peter Stormare|Kevin Conway|John Carroll Lynch|Kelley Hazen|John Doman|Richard Riehle
915::City of Angels::Nicolas Cage|Meg Ryan|Andre Braugher|Dennis Franz|Colm Feore|Robin Bartlett|Joanna Merlin|Sarah Dampf|Rhonda Dotson|Nigel Gibbs|John Putch|Lauri Johnson|Christian Aubert|Jay Patterson|Shishir Kurup
916::City of Lost Children, The::Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch
917::Two Bits::Jerry Barone|Mary Elizabeth Mastrantonio|Al Pacino|Patrick Borriello|Andy Romano|Donna Mitchell|Mary Lou Rosato|Joe Grifasi|Rosemary De Angelis|Ron McLarty|Charley Scalies|Joanna Merlin|Geoff Pierson|Karen Shallo|Nick Discenza
918::Farewell My Concubine::Nonez|Nonez
919::Dead Man::Johnny Depp|Gary Farmer|Crispin Glover|Lance Henriksen|Michael Wincott|Eugene Byrd|John Hurt|Robert Mitchum|Iggy Pop|Gabriel Byrne|Jared Harris|Mili Avital|Jimmie Ray Weeks|Mark Bringelson|John North
920::Raise the Red Lantern::Li Gong|Saifei He|Jingwu Ma|Cuifen Cao|Qi Zhao|Lin Kong|Shuyuan Jin|Weimin Ding|Zhengyin Cao|Zhigang Cui|Chu Xiao
921::White Squall::Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto|Ryan Phillippe|David Lascher|Eric Michael Cole|Jason Marsden|David Selby|Julio Oscar Mechoso|Zeljko Ivanek|Balthazar Getty|Ethan Embry|Jordan Clarke
922::Unforgettable::Ray Liotta|Linda Fiorentino|Peter Coyote|Christopher McDonald|David Paymer|Duncan Fraser|Caroline Elliott|Colleen Rennison|Kim Cattrall|Stellina Rusich|Kim Coates|Suzy Joachim|Garwin Sanford|Jenafor Ryane|Jim Broyden
923::Down Periscope::Kelsey Grammer|Lauren Holly|Rob Schneider|Harry Dean Stanton|Bruce Dern|William H. Macy|Ken Hudson Campbell|Toby Huss|Duane Martin|Jonathan Penner|Bradford Tatum|Harland Williams|Rip Torn|James Martin Jr.|Jordan Marder
924::Flower of My Secret, The::Marisa Paredes|Juan Echanove|Carme Elias|Rossy de Palma|Chus Lampreave|Kiti Mánver|Joaquín Cortés|Manuela Vargas|Imanol Arias|Gloria Muñoz|Juan José Otegui|Nancho Novo|Jordi Mollà|Alicia Agut|Marisol Muriel
925::Craft, The::Robin Tunney|Fairuza Balk|Neve Campbell|Rachel True|Skeet Ulrich|Christine Taylor|Breckin Meyer|Nathaniel Marston|Cliff De Young|Assumpta Serna|Helen Shaver|Jeanine Jackson|Brenda Strong|Elizabeth Guber|Jennifer Greenhut
926::Harriet the Spy::Michelle Trachtenberg|Gregory Smith|Vanessa Chester|Rosie O'Donnell|J. Smith-Cameron|Robert Joy|Eartha Kitt|Charlotte Sullivan|Teisha Kim|Cecilley Carroll|Dov Tiefenbach|Nina Shock|Conor Devitt|Alisha Morrison|Nancy Beatty
927::Chain Reaction::Keanu Reeves|Morgan Freeman|Rachel Weisz|Fred Ward|Kevin Dunn|Brian Cox|Joanna Cassidy|Chelcie Ross|Nicholas Rudall|Tzi Ma|Krzysztof Pieczynski|Julie Pearl|Godfrey|Gene Barge|Nathan Davis
928::Island of Dr. Moreau, The::Marlon Brando|Val Kilmer|David Thewlis|Fairuza Balk|Daniel Rigney|Temuera Morrison|Nelson de la Rosa|Peter Elliott|Mark Dacascos|Ron Perlman|Marco Hofschneider|Miguel López|Neil Young|David Hudson|Clare Grant
929::First Kid::Sinbad|Brock Pierce|Blake Boyd|Timothy Busfield|Art LaFleur|Robert Guillaume|Lisa Eichhorn|James Naughton|Fawn Reed|Erin Williby|Zachery Ty Bryan|Michael Krawic|Bill Cobbs|Jemar Jefferson|Daniel Baron
930::Funeral, The::Christopher Walken|Chris Penn|Annabella Sciorra|Isabella Rossellini|Vincent Gallo|Benicio Del Toro|Gretchen Mol|John Ventimiglia|Paul Hipp|Victor Argo|Gian DiDonna|Dmitri Prachenko|Paul Perri|Gregory Perrelli|Joey Hannon
931::Preacher's Wife, The::Denzel Washington|Whitney Houston|Courtney B. Vance|Gregory Hines|Jenifer Lewis|Loretta Devine|Justin Pierre Edmund|Lionel Richie|Paul Bates|Lex Monson|Darvel Davis Jr.|William James Stiggers Jr.|Marcella Lowery|Cissy Houston|Aaron A. McConnaughey
932::Paradise Road::Glenn Close|Frances McDormand|Pauline Collins|Cate Blanchett|Jennifer Ehle|Julianna Margulies|Wendy Hughes|Johanna ter Steege|Elizabeth Spriggs|Pamela Rabe|Clyde Kusatsu|Stan Egi|David Chung|Sab Shimono|Penne Hackforth-Jones
933::Brassed Off::Pete Postlethwaite|Tara Fitzgerald|Ewan McGregor|Stephen Tompkinson|Jim Carter|Philip Jackson|Peter Martin|Sue Johnston|Mary Healey|Melanie Hill|Lill Roughley|Peter Gunn|Stephen Moore|Kenneth Colley|Olga Grahame
934::Thousand Acres, A::Michelle Pfeiffer|Jessica Lange|Jason Robards|Jennifer Jason Leigh|Colin Firth|Keith Carradine|Kevin Anderson|Pat Hingle|John Carroll Lynch|Anne Pitoniak|Vyto Ruginis|Michelle Williams|Elisabeth Moss|Ray Toler|Kenneth Tigar
935::Smile Like Yours, A::Greg Kinnear|Lauren Holly|Joan Cusack|Jay Thomas|Jill Hennessy|Christopher McDonald|Donald Moffat|France Nuyen|Marianne Muellerleile|Sheridan Samples|Barbara Larsen|Tony Abou-Ganim|Nick Scoggin|Gene Nakashita|Lewis Brown
936::Murder in the First::Christian Slater|Kevin Bacon|Gary Oldman|Embeth Davidtz|William H. Macy|Stephen Tobolowsky|Brad Dourif|R. Lee Ermey|Mia Kirshner|Ben Slack|Stefan Gierasch|Kyra Sedgwick|Alex Bookston|Richie Allan|Herb Ritts
937::Airheads::Brendan Fraser|Steve Buscemi|Adam Sandler|Chris Farley|Michael McKean|Judd Nelson|Ernie Hudson|Amy Locane|Nina Siemaszko|Marshall Bell|Reg E. Cathey|David Arquette|Michael Richards|Joe Mantegna|Michelle Hurst
938::With Honors::Joe Pesci|Brendan Fraser|Moira Kelly|Patrick Dempsey|Josh Hamilton|Gore Vidal|Deborah Lake Fortson|Marshall Hambro|Melinda Chilton|Harve Kolzow|James Deuter|Caroline Gibson|M. Lynda Robinson|Richard Auguste|Patricia B. Butcher
939::What's Love Got to Do with It::RaéVen Kelly|Virginia Capers|Dororthy Thorton|Demetrice Cheathon|Nita Woods Allen|Helen Marie Lovelace|Natalie Wilson|Seymour Daniel Jr.|David McKinney|Jayd Stanfield|Maurice O'Neal|Frank Rasberry|Monroe Howard|Serist Roberts|Wakeen Best
940::Killing Zoe::Daniel MacIvor|Ken McDougall|J.D. Nicholsen
941::Renaissance Man::Danny DeVito|Gregory Hines|James Remar|Ed Begley Jr.|Lillo Brancato|Stacey Dash|Kadeem Hardison|Richard T. Jones|Khalil Kain|Peter Simmons|Gregory Sporleder|Mark Wahlberg|Cliff Robertson|Ben Wright|Ann Cusack
942::Charade::Cary Grant|Audrey Hepburn|Walter Matthau|James Coburn|George Kennedy|Dominique Minot|Ned Glass|Jacques Marin|Paul Bonifas|Thomas Chelimsky
943::Fox and the Hound, The::Mickey Rooney|Kurt Russell|Pearl Bailey|Jack Albertson|Sandy Duncan|Jeanette Nolan|Pat Buttram|John Fiedler|John McIntire|Richard Bakalyan|Paul Winchell|Keith Coogan|Corey Feldman|Squeeks' the Caterpillar
944::Big Blue, The::Rosanna Arquette|Jean-Marc Barr|Jean Reno|Paul Shenar|Sergio Castellitto|Jean Bouise|Marc Duret|Griffin Dunne|Andréas Voutsinas|Valentina Vargas|Kimberly Beck|Patrick Fontana|Alessandra Vazzoler|Geoffrey Carey|Bruce Guerre-Berthelot
945::Booty Call::Jamie Foxx|Tommy Davidson|Amy Monique Waddell|Wiley Moore|Vivica A. Fox|Tamala Jones|Kam Ray Chan|Ric Young|Ammie Sin|Scott LaRose|Bernie Mac|Olivia Yap|Bill MacDonald|John Moraitis|Karen Robinson
946::How to Make an American Quilt::Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn
947::Georgia::Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo
948::Indian in the Cupboard, The::Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser|Nestor Serrano|Ryan Olson|Leon Tejwani|Lucas Tejwani|Christopher Conte|Cassandra Brown
949::Blue in the Face::Lou Reed|Michael J. Fox|Roseanne Barr|Mel Gorham|Jim Jarmusch|Lily Tomlin|Jared Harris|Giancarlo Esposito|Malik Yoba|José Zúñiga|Victor Argo|Stephen Gevedon|The John Lurie National Orchestra|Madonna|Sharif Rashed
950::Unstrung Heroes::Andie MacDowell|John Turturro|Michael Richards|Maury Chaykin|Nathan Watt|Anne De Salvo|Celia Weston|Jack McGee|Candice Azzara|Kendra Krull|Giuseppe Andrews|Lillian Adams|Lou Cutell|Sumer Stamper|Sean P. Donahue
951::Unzipped::Roseanne Barr|Sandra Bernhard|Robert Best|Natane Boudreau|Carla Bruni|Naomi Campbell|Helena Christensen|Cindy Crawford|Debbie Deitering|Meghan Douglas|Faye Dunaway|Linda Evangelista|John Galliano|Richard Gere|Yasmeen Ghauri
952::Before Sunrise::Ethan Hawke|Julie Delpy|Andrea Eckert|Hanno Pöschl|Karl Bruckschwaiger|Tex Rubinowitz|Erni Mangold|Dominik Castell|Haymon Maria Buttinger|Harald Waiglein|Bilge Jeschim|Kurti|Hans Weingartner|Liese Lyon|Peter Ily Huemer
953::Nobody's Fool::Tiffany Haddish|Tika Sumpter|Omari Hardwick|Mehcad Brooks|Amber Riley|Whoopi Goldberg|Missi Pyle|PJ Morton|Michael Blackson|Jon Rudnitsky|Chris Rock|Nev Schulman|Max Joseph|Adrian Conrad|Courtney Henggeler
954::Pushing Hands::Sihung Lung|Lai Wang|Bozhao Wang|Deb Snyder|Fanny De Luz|Haan Lee|Hung-Chang Wang|Jeanne Kuo Chang|James Lou|B.C. Lee
955::To Live::Nonez|Nonez
